SampleId,Area_Name,Area_Code,Latitude,Longitude,Year,Month,Day,Hour,Minute,PCI
485LR-15,4.b,2,57.1938,-1.5074,2004,6,4,18,55,1
485LR-27,4.b,2,55.277,-0.4819,2004,6,4,10,8,2
486A--1,4.a,3,58.2283,-1.4933,1989,10,11,1,25,1
486A--11,4.a,3,59.885,-1.1417,1989,10,10,18,17,0
486C--17,4.b,2,56.3167,2.7333,1981,9,12,9,15,2
486LR-3,4.a,3,58.8347,-3.4545,2004,7,17,0,36,2
486LR-23,4.b,2,55.8931,-0.8148,2004,7,16,11,3,1
486R--8,4.c,1,52.1496,3.8561,2004,9,16,14,8,2
487C--5,4.b,2,54.635,1.025,1981,10,16,23,54,6.5
487C--25,4.a,3,57.5217,4.0067,1981,10,17,14,14,1
487LR-7,4.a,3,58.4059,-2.7144,2004,8,13,20,2,1
487LR-35,4.b,2,54.047,0.1492,2004,8,13,1,16,1
488C--7,4.a,3,57.6667,-0.1267,1981,11,11,16,46,1
488LR-11,4.a,3,57.7732,-1.9176,2004,9,10,17,39,1
488LR-27,4.b,2,55.2377,-0.4563,2004,9,10,7,14,1
488R--4,4.c,1,52.0871,2.6709,2004,11,15,15,20,1
489A--1,4.b,2,57.4917,-1.645,1990,1,12,5,31,1
489A--7,4.a,3,58.4867,-1.44,1990,1,12,1,16,0
489C--3,4.b,2,55.5083,-0.6417,1981,12,13,23,46,1
489C--33,4.a,3,59.71,4.4117,1981,12,12,23,54,1
489LR-23,4.b,2,55.9667,-0.8503,2004,10,8,7,51,2
48DI-15,4.a,3,60.337,-2.62,2020,12,18,5,52,0
48DI-25,4.a,3,59.517,0.208,2020,12,18,11,40,0
48DI-43,4.a,3,58.293,5.515,2020,12,18,22,10,0
48KC-1,4.a,3,58.71,5.33,2016,11,12,16,19,2
48KC-11,4.b,2,57.287,3.695,2016,11,13,4,4,1
48KC-17,4.b,2,56.417,2.81,2016,11,13,10,22,1
48KC-27,4.b,2,54.937,1.457,2016,11,13,18,0,2
48KC-35,4.b,2,53.732,0.547,2016,11,14,0,25,1
48LE-13,4.b,2,55.175,2.5267,1984,2,12,7,37,0
48LE-21,4.b,2,55.2733,4.8533,1984,2,12,2,28,0
48LG-9,4.b,2,53.6217,3.6617,1985,5,11,23,50,1
48LG-15,4.b,2,54.41,4.705,1985,5,11,19,39,0
48LG-27,4.b,2,55.9883,6.855,1985,5,11,11,16,2
490C--15,4.b,2,55.755,2.3467,1982,1,14,5,32,0
490C--21,4.b,2,56.6333,3.2067,1982,1,14,9,26,0
490LR-11,4.a,3,57.8275,-1.9897,2004,11,5,17,39,0
491C--5,4.b,2,54.2817,0.9383,1982,2,17,2,55,1
491C--17,4.b,2,56.0317,2.6283,1982,2,17,12,17,0
491C--31,4.a,3,58.0733,4.7017,1982,2,17,23,14,0
491LR-9,4.b,2,55.4749,-1.4367,2004,12,17,13,49,1
491R--1,4.c,1,52.04048665,1.935348638,2005,2,16,11,35,0
492C--7,4.b,2,54.785,1.125,1982,3,15,23,35,0
492C--23,4.b,2,57.265,2.8717,1982,3,15,9,35,0
492C--33,4.a,3,58.8167,4.025,1982,3,15,0,50,1
492LR-25,4.b,2,55.6766805,-0.687923749,2005,1,14,9,12,0
492M--3,4.b,2,57.383,-1.112,2021,1,17,14,49,1
492M--13,4.a,3,58.077,1.727,2021,1,17,21,33,1
492M--23,4.a,3,58.703,4.673,2021,1,18,4,17,1
492R--8,4.c,1,52.14326986,3.779286194,2005,3,15,7,15,2
493LR-7,4.a,3,58.38575439,-2.667261505,2005,2,12,7,48,0
493M--7,4.a,3,57.648,-0.073,2021,2,9,21,43,1
493M--13,4.a,3,58.05,1.648,2021,2,10,3,54,1
493R--6,4.c,1,52.09093018,3.227422078,2005,4,13,15,11,2
494LR-13,4.a,3,57.61260173,-1.733333333,2005,3,12,0,46,1
494M--9,4.a,3,57.783,0.473,2021,3,22,4,16,1
494M--19,4.a,3,58.428,3.382,2021,3,22,11,1,1
495LR-7,4.a,3,58.36545817,-2.666925049,2005,4,9,9,24,1
495LR-17,4.b,2,56.87642822,-1.916090139,2005,4,9,2,13,6.5
495LR-35,4.b,2,54.1837321,-0.104204472,2005,4,8,8,22,1
496C--3,4.b,2,55.4483,-0.87,1982,7,11,20,29,0
496C--13,4.b,2,56.8333,0.7917,1982,7,11,13,46,0
496C--33,4.a,3,59.6017,4.31,1982,7,11,0,20,0
496LR-15,4.b,2,57.23573405,-1.681324005,2005,5,6,23,53,2
496LR-25,4.b,2,55.5835083,-1.352166367,2005,5,6,18,43,2
496R--1,4.c,1,52.04051107,1.897375615,2005,6,26,12,57,2
497C--3,4.b,2,57.33,-1.2117,1982,8,19,20,19,2
497C--17,4.a,3,58.24,2.8133,1982,8,20,5,30,2
497LR-5,4.a,3,58.7127889,-3.045348867,2005,6,18,2,59,2
497LR-23,4.b,2,55.98061117,-0.857717514,2005,6,17,15,21,1
497R--1,4.c,1,52.04247233,1.879603831,2005,7,14,18,16,1
498C--3,4.b,2,57.315,-1.215,1982,9,8,19,50,6.5
498LR-11,4.b,2,53.81415609,0.267590427,2005,7,15,2,21,1
498M--15,4.a,3,58.177,2.192,2021,7,5,3,53,1
498R--3,4.c,1,52.07798258,2.41039505,2005,8,15,13,50,2
499C--25,4.b,2,57.495,3.0867,1982,10,11,9,26,6.5
499C--39,4.a,3,59.6667,4.72,1982,10,10,20,25,0
499LR-5,4.a,3,58.67139893,-3.057983653,2005,8,12,13,25,2
499LR-27,4.b,2,55.3176473,-0.500208569,2005,8,11,22,53,1
499R--2,4.c,1,52.06833903,2.320224508,2005,9,13,10,6,2
49KC-9,4.b,2,54.868,1.417,2016,12,6,23,48,2
49KC-13,4.b,2,55.467,1.935,2016,12,7,4,39,1
49KC-23,4.b,2,56.935,3.322,2016,12,7,16,23,6.5
49KC-35,4.a,3,58.645,5.268,2016,12,8,4,38,1
49LE-13,4.b,2,54.33,4.155,1984,3,25,7,37,1
49LE-23,4.b,2,54.6367,6.975,1984,3,24,23,13,0
49LG-9,4.c,1,53.215,3.1117,1985,6,14,23,38,2
49LG-15,4.b,2,54.0117,4.125,1985,6,14,19,41,1
49LG-25,4.b,2,55.3417,5.8583,1985,6,14,13,4,1
4HE-3,4.b,2,53.8933,1.025,1984,10,26,20,37,0
4HE-17,4.b,2,53.945,4.9733,1984,10,27,6,35,0
4KC-15,4.b,2,55.847,2.235,2013,5,29,9,21,1
4KC-31,4.a,3,58.158,4.672,2013,5,30,0,29,2
4LE-19,4.b,2,55.2467,4.0767,1979,3,11,2,50,0
4LG-19,4.b,2,54.5283,4.81,1980,6,29,6,14,0
4LG-29,4.b,2,55.85,6.585,1980,6,29,12,53,2
500C--15,4.b,2,55.7467,2.33,1982,11,4,4,57,0
